  nu       n         k        t       tcal
       1918.2030       1.3569613    0.0021304305       1.0622237       1.0622238
       1918.4441       1.3569617    0.0021611530       1.0621724       1.0621724
       1918.6852       1.3569385    0.0021714539       1.0621601       1.0621602
       1918.9263       1.3569271    0.0021197144       1.0622678       1.0622678
       1919.1674       1.3569444    0.0020833545       1.0623460       1.0623461
       1919.4085       1.3569805    0.0020559769       1.0624072       1.0624072
       1919.6496       1.3570108    0.0020868487       1.0623558       1.0623559
       1919.8907       1.3570018    0.0021276258       1.0622849       1.0622849
       1920.1318       1.3569935    0.0020772035       1.0623901       1.0623901
       1920.3729       1.3570196    0.0020459797       1.0624586       1.0624586
       1920.6140       1.3570443    0.0020603374       1.0624390       1.0624390
       1920.8551       1.3570603    0.0020543853       1.0624586       1.0624586
       1921.0962       1.3570743    0.0020623465       1.0624512       1.0624513
       1921.3373       1.3570847    0.0020576272       1.0624683       1.0624684
       1921.5784       1.3571021    0.0020478838       1.0624953       1.0624953
       1921.8195       1.3571173    0.0020621709       1.0624757       1.0624757
       1922.0606       1.3571229    0.0020675443       1.0624732       1.0624733
       1922.3017       1.3571238    0.0020690951       1.0624781       1.0624782
       1922.5428       1.3571263    0.0020542089       1.0625148       1.0625149
       1922.7839       1.3571384    0.0020343180       1.0625613       1.0625614
       1923.0250       1.3571638    0.0020170309       1.0626029       1.0626029
       1923.2661       1.3571742    0.0020527701       1.0625417       1.0625418
       1923.5072       1.3571634    0.0020390814       1.0625760       1.0625760
       1923.7483       1.3571884    0.0019661758       1.0627253       1.0627253
       1923.9894       1.3572379    0.0019793607       1.0627081       1.0627082
       1924.2305       1.3572600    0.0020201958       1.0626372       1.0626372
       1924.4716       1.3572548    0.0020444487       1.0625980       1.0625981
       1924.7127       1.3572447    0.0020307672       1.0626323       1.0626323
       1924.9538       1.3572526    0.0019957082       1.0627081       1.0627082
       1925.1949       1.3572641    0.0019935147       1.0627204       1.0627204
       1925.4360       1.3572902    0.0019370930       1.0628378       1.0628379
       1925.6771       1.3573478    0.0019225172       1.0628745       1.0628746
       1925.9182       1.3573784    0.0019898664       1.0627522       1.0627522
       1926.1593       1.3573895    0.0019788287       1.0627815       1.0627816
       1926.4005       1.3574153    0.0019918496       1.0627644       1.0627644
       1926.6416       1.3574214    0.0020413625       1.0626763       1.0626764
       1926.8827       1.3574043    0.0020541494       1.0626592       1.0626592
       1927.1238       1.3573987    0.0020253544       1.0627228       1.0627228
       1927.3649       1.3574111    0.0020143186       1.0627522       1.0627522
       1927.6060       1.3574114    0.0020334957       1.0627228       1.0627228
       1927.8471       1.3574047    0.0020047052       1.0627864       1.0627865
       1928.0882       1.3574291    0.0019495962       1.0629015       1.0629015
       1928.3293       1.3574725    0.0019500743       1.0629088       1.0629088
       1928.5704       1.3574971    0.0019832332       1.0628525       1.0628525
       1928.8115       1.3574948    0.0020074229       1.0628133       1.0628134
       1929.0526       1.3574893    0.0019849562       1.0628647       1.0628648
       1929.2937       1.3575127    0.0019399535       1.0629602       1.0629602
       1929.5348       1.3575540    0.0019441913       1.0629602       1.0629602
       1929.7759       1.3575629    0.0020011797       1.0628574       1.0628574
       1930.0170       1.3575559    0.0019761931       1.0629137       1.0629137
       1930.2581       1.3575738    0.0019513336       1.0629700       1.0629700
       1930.4992       1.3575888    0.0019655059       1.0629504       1.0629504
       1930.7403       1.3576078    0.0019318419       1.0630238       1.0630239
